Q1- Time taken,Q1- Observed, Q1-Correct, Q1-Accuracy,Q2- Timing taken,Q2- observed,Q2- expected,Q2- accuracy,Q3- Time taken,Q3- observed,Q3- correct,Q3- Accuracy,time-taken,Q 2.1 - time taken,Q2.1- observed,Q2.1 - expected,Q2.1- Accuracy,Q2.2 - time taken,Q2.2 - observed,Q2.2 - expected,Q2.2- Accuracy ,Q2.3- time taken,Q2.3- observed,Q2.3- expected,Q2.3 Accuracy,time-taken2,QD1,QD2,QD3,QD4,QD5,QD6,QD7,QD8,QD9
38.418,6,6,0,30.539,6,6,0,18.413,1,1,0,87.37,22.209,5,5,0,29.67,5,6,1,40.314,53,60,7,120.214,Somewhat familiar,Somewhat familiar,3,Texas,30-39,Male,White,North Carolina,Master’s degree
4.594,2,6,4,10.167,6,6,0,9.401,1,1,0,24.162,3.319,1,5,4,9.3,6,6,0,3.174,1,60,59,79.704,Very familiar,Very familiar,2,Texas,40-49,Female,White,Texas,
60.92,0,6,6,38.131,6,6,0,25.309,1,1,0,124.36,49.879,5,5,0,40.133,5,6,1,46.242,34,60,26,214.015,Very unfamiliar,Somewhat unfamiliar,3,New York,30-39,Female,White,New York,Some college
132.973,4,6,2,30.056,5,6,1,6.325,3,1,-2,169.354,31.931,5,5,0,81.217,5,6,1,49.522,50,60,10,339.672,Somewhat familiar,Somewhat familiar,2,Florida,30-39,Male,Other,Indiana,Master’s degree
51.298,6,6,0,40.56,6,6,0,34.63,1,1,0,126.488,44.424,5,5,0,50.534,5,6,1,89.101,57,60,3,320.641,Very unfamiliar,Somewhat familiar,1,Texas,30-39,Male,White,Pennsylvania,Master’s degree
51.354,6,6,0,40.793,6,6,0,28.764,1,1,0,120.911,42.569,5,5,0,31.958,5,6,1,143.619,62,60,-2,216.589,Somewhat unfamiliar,Somewhat familiar,2,Texas,21-29,Male,White,Outside of the United States,Bachelor’s degree
66.925,6,6,0,57.902,6,6,0,32.935,1,1,0,157.762,51.675,5,5,0,43.678,5,6,1,63.72,60,60,0,281.866,Somewhat unfamiliar,Somewhat familiar,1,Oklahoma,60+,Male,White,Pennsylvania,Bachelor’s degree
96.448,6,6,0,48.607,6,6,0,68.702,1,1,0,213.757,30.56,6,5,-1,61.836,5,6,1,80.426,50,60,10,404.801,Somewhat unfamiliar,Somewhat unfamiliar,3,Lousiana,18-20,Male,White,Arizona,Some college
51.885,6,6,0,47.346,6,6,0,36.112,1,1,0,135.343,66.414,5,5,0,35.146,5,6,1,129.208,57,60,3,365.993,Somewhat unfamiliar,Somewhat familiar,3,Texas,21-29,Male,White,California,Bachelor’s degree
70.362,0,6,6,69.357,6,6,0,68.386,1,1,0,208.105,70.035,5,5,0,44.907,5,6,1,195.504,55,60,5,335.446,Very unfamiliar,Somewhat unfamiliar,1,Oklahoma,30-39,Male,White,Ohio,Some college
